Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại Học Bách Khoa Hà Nội,1,BF1y,Kỹ thuật Sinh học,A00; B00; D07,23.25,
Đại Học Bách Khoa Hà Nội,2,BF2y,Kỹ thuật Thực phẩm,A00; B00; D07,23.35,
Đại Học Bách Khoa Hà Nội,3,BF-E12y,Kỹ thuật Thực phẩm (CT tiên tiến),A00; B00; D07,23.35,
Đại Học Bách Khoa Hà Nội,4,CH1Y,Kỹ thuật Hoá học,A00; B00; D07,23.03,
Đại Học Bách Khoa Hà Nội,5,CH2y,Hoá học,A00; B00; D07,23.03,
Đại Học Bách Khoa Hà Nội,6,CH3y,Kỹ thuật in,A00; B00; D07,23.03,
Đại Học Bách Khoa Hà Nội,7,CH-E11y,Kỹ thuật Hóa dược (CT tiên tiến),A00; B00; D07,23.7,
Đại Học Bách Khoa Hà Nội,8,ED2y,Công nghệ giáo dục,A00; A01; D01,23.15,
Đại Học Bách Khoa Hà Nội,9,EE1y,Kỹ thuật Điện,A00; A01,23.05,
Đại Học Bách Khoa Hà Nội,10,EE2y,Kỹ thuật Điều khiển - Tự động hoá,A00; A01,27.61,
Đại Học Bách Khoa Hà Nội,11,EE-E18y,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),A00; A01,23.55,
Đại Học Bách Khoa Hà Nội,12,EE-E8y,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),A00; A01,25.99,
Đại Học Bách Khoa Hà Nội,13,EE-Epy,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00; A01; D29,23.99,
Đại Học Bách Khoa Hà Nội,14,EM1y,Kinh tế công nghiệp,A00; A01; D01,24.3,
Đại Học Bách Khoa Hà Nội,15,EM2y,Quản lý công nghiệp,A00; A01; D01,23.3,
Đại Học Bách Khoa Hà Nội,16,EM3y,Quản trị kinh doanh,A00; A01; D01,25.35,
Đại Học Bách Khoa Hà Nội,17,EM4y,Kế toán,A00; A01; D01,25.2,
Đại Học Bách Khoa Hà Nội,18,EM5y,Tài chính - Ngân hàng,A00; A01; D01,25.2,
Đại Học Bách Khoa Hà Nội,19,EM-E13y,Phân tích kinh doanh (CT tiên tiến),D07; A01; D01,24.18,
Đại Học Bách Khoa Hà Nội,20,EM-E14y,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),D07; A01; D01,24.51,
Đại Học Bách Khoa Hà Nội,21,ET1y,Kỹ thuật Điện tử - Viễn thông,A00; A01,24.5,
Đại Học Bách Khoa Hà Nội,22,ET2y,Kỹ thuật Y sinh (mới),A00; A01,23.15,
Đại Học Bách Khoa Hà Nội,23,ET-E16y,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),A00; A01,24.71,
Đại Học Bách Khoa Hà Nội,24,ET-E4y,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),A00; A01,24.19,
Đại Học Bách Khoa Hà Nội,25,ET-E5y,Kỹ thuật Y sinh (CT tiên tiến),A00; A01,23.89,
Đại Học Bách Khoa Hà Nội,26,ET-E9y,Hệ thống nhúng thông minh và IoT (CT tiên tiến),A00; A01; D28,24.14,
Đại Học Bách Khoa Hà Nội,27,ET-LUHY,Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức),A00; A01; D26,23.15,
Đại Học Bách Khoa Hà Nội,28,EV1y,Kỹ thuật Môi trường,A00; B00; D07,23.03,
Đại Học Bách Khoa Hà Nội,29,EV2y,Quản lý tài nguyên và môi trường,A00; B00; D07,23.03,
Đại Học Bách Khoa Hà Nội,30,FL1y,Tiếng Anh KHKT và Công nghệ,D01,23.06,
Đại Học Bách Khoa Hà Nội,31,FL2y,Tiếng Anh chuyên nghiệp quốc tế,D01,23.06,
Đại Học Bách Khoa Hà Nội,32,HE1y,Kỹ thuật Nhiệt,A00; A01,23.26,
Đại Học Bách Khoa Hà Nội,33,IT2y,CNTT: Kỹ thuật Máy tính,A00; A01,28.29,
Đại Học Bách Khoa Hà Nội,34,IT-E6y,Công nghệ thông tin (Việt - Nhật),A00; A01,27.25,
Đại Học Bách Khoa Hà Nội,35,ME1y,Kỹ thuật Cơ điện tử,A00; A01,26.33,
Đại Học Bách Khoa Hà Nội,36,ME2y,Kỹ thuật Cơ khí,A00; A01,23.5,
Đại Học Bách Khoa Hà Nội,37,ME-E1y,Kỹ thuật Cơ điện tử (CT tiên tiến),A00; A01,24.28,
Đại Học Bách Khoa Hà Nội,38,ME-Guy,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),A00; A01,23.36,
